customer_id,trade_name,legal_entity_name,trn,source_row,source_contract_number
CUST-0001,Calicut Restaurant,,,2,1330/25
CUST-0002,LAHDAHT JAMA BEAUTY CENTER,,,3,1070/25
CUST-0003,BURJ BABILFOOD STUF,,,4,1064/25
CUST-0004,SINNA AUTO BAKERY,,,5,1009/25
CUST-0005,Naseem albarary market,,,6,10014/25
CUST-0006,JEREESH RESTAURANT,,,7,1071/25
CUST-0007,ALSAMA ALSAFI SALOON,,,8,10015/25
CUST-0008,CAESARS REST&CONFECTIONERY BR 1,,,9,10016/25
CUST-0009,SHIFA ALJAZEERA PHARMACY,,,10,10016/25
CUST-0010,HSH /DUBAI FARM,,,11,10017/25
CUST-0011,QASIR AL ZAYTON GENTS SALON,,,12,10018/25
CUST-0012,ALNADA M.CENTER,,,13,10019/25
CUST-0013,GOLDEN SILK RETAURANT,,,14,10020/25
CUST-0014,CAESAR WAREHOUSE,,,15,10021/25
CUST-0015,BREAD &BUTTER CAFETERI,,,16,10022/25
CUST-0016,CALICUT WAREHOUSE,,,17,10023/25
CUST-0017,YUMMY TASTE CAFETERIA,,,18,10023/25
CUST-0018,ARYAAS GOURMET VEG,,,19,10024/25
CUST-0019,KADER ABDUL KADERCAFET,,,20,10025/25
CUST-0020,AL MASHAIER ALLJAMILAH SALO,,,21,10026/25
CUST-0021,DAR BARAKAH SALON,,,22,10027/25
CUST-0022,SAGAA SPA,,,23,10028/25
CUST-0023,AWANEY BR 5,,,24,10029/25
CUST-0024,AWANEY RESTAURANT,,,25,10030/25
CUST-0025,AWANEY RESTAURANT 3,,,26,10031/25
CUST-0026,SULTAN ALARAB REST,,,27,10032/25
CUST-0027,DUBAI DATES FACTORY,,,28,10033/25
CUST-0028,EMIRATES AMERICAN SCHOOL,,,29,10034/25
CUST-0029,ALMAWRID PRINTING,,,30,1035/25
CUST-0030,AROUSE ALREMAL GROCERY,,,31,1036/25
CUST-0031,Mohammed abdulla bldg,,,32,1037/25
CUST-0032,Shaikha hamdan rashid,,,33,1038/25
CUST-0033,ALMAWRID PRINTING,,,34,1039/25
CUST-0034,MOHAMED SHAH/SWEET,,,35,1040/25
CUST-0035,SHAIKHA AMAL,,,36,1041/25
CUST-0036,FULL MOON RESTAURANT,,,37,1042/25
CUST-0037,LUZON DENTAL,,,38,1043/25
CUST-0038,TARIQ ALTAMYOZ GROC,,,39,1044/25
CUST-0039,BARAKAT BACKERY,,,40,1045/25
CUST-0040,SALEM MOD MAJED,,,41,1046/25
CUST-0041,alyam beaty center,,,42,1047/25
CUST-0042,seven OAKS NURSERY,,,43,1048/25
CUST-0043,ALFAWZAN HSALON,,,44,1049/25
CUST-0044,CAESAR R.C,,,45,1050/25
CUST-0045,CAESAR,,,46,1051/25
CUST-0046,FISH ISLAND RETAURANT,,,47,1052/25
CUST-0047,AL ATLAL ROASTRY,,,48,1053/25
CUST-0048,M. AL HASSAN.MED CEN,,,49,1054/25
CUST-0049,AL IMAN E. URSERY,,,50,1055/25
CUST-0050,FAYHA JE.GOLD FACTORY,,,51,1056/25
CUST-0051,LEADER REALESTATE,,,52,1057/25
CUST-0052,ALDHAID MALL BLDG,,,53,1058/25
CUST-0053,ALKHATAR SUPER MARKET,,,54,1059/25
CUST-0054,SHIHAB ALMADINA GROCERY,,,55,1060/25
CUST-0055,GLOBAL &SUMAN ROASTRY,,,56,1061/25
CUST-0056,FIC.RESTAURANT,,,57,1062/25
CUST-0057,FAKHR MUWAILEH GROCERY,,,58,1063/25
CUST-0058,BUN&BURR CAFÉ,,,59,1064/25
CUST-0059,SAFAD BUILDING,,,60,1065/25
CUST-0060,FATIMA ALMARZOOQI BEAUTY&SPA,,,61,1066/25
CUST-0061,SUNSET COSMETICS TR,,,62,1067/25
CUST-0062,ARYAAS GOURMET VEV RESTAU,,,63,1068/25
CUST-0063,ALMANARAH AL MUDHIA CAFETERIA,,,64,1069/25
CUST-0064,HOME PARK RESTAURANT L.L.C,,,65,:1070/25
CUST-0065,ALBASSAM TOWER,,,66,1071/25
CUST-0066,ALNAHLA REST,,,67,1072/25
CUST-0067,ZAYTOON&ZAATAR FOODSTUFF,,,68,1073/25
CUST-0068,ALATLAL ROASTRY,,,69,1074/25
CUST-0069,SHATEE ALMADEENA RES,,,70,1075/25
CUST-0070,MANARAT AL QARAIEN GROCERY,,,71,1076/25
CUST-0071,ALZAHRA GROCERY,,,72,1077/25
CUST-0072,ALIRSHAD SUPER MARKET,,,73,1078/25
CUST-0073,leaders futness shj br,,,74,1079/25
CUST-0074,HADEQATUDUPI REST,,,75,1080/25
CUST-0075,ALGHAZALROASTRY,,,76,1081/25
CUST-0076,MANARA ALSAJAA HAIRDESSING,,,77,1082/25
CUST-0077,MAKEK ALJAWADA CAFETERIA,,,78,1083/25
CUST-0078,AL ALAMIAH MEDICAL EQUIP&DRUGS,,,79,1084/25
CUST-0079,SARAH ALI PHARMACY,,,80,1085/25
CUST-0080,ZAWYA ALEBTEKAR HAIRDRE SAL,,,81,1086/25
CUST-0081,WARDAT MUWAILEH SALOON,,,82,1087/25
CUST-0082,RUKN ALRAHA LADIES SALON,,,83,1088/25
CUST-0083,ALO BARBARRESTAURANT,,,84,1089/25
CUST-0084,RASHEDA HAIR DRESSER SALON,,,85,1090/25
CUST-0085,AL MAHMAL RES. L.L.C,,,86,1091/25
CUST-0086,AL IKHTAYAR AL AREEF ROASTRY,,,87,1092/25
CUST-0087,TEAOASIS CAFÉ,,,88,1093/25
CUST-0088,SULTAN ALARAB REST,,,89,1094/25
CUST-0089,SULTAN ALARAB REST,,,90,1095/25
CUST-0090,SULTAN ALARAB REST,,,91,1096/25
CUST-0091,SULTAN ALARAB REST,,,92,1097/25
CUST-0092,SULTAN ALARAB REST,,,93,1098/25
CUST-0093,PEAR BEEBEAUTY SALON,,,94,1099/25
CUST-0094,ALMARJAN SALON,,,95,1100/25
CUST-0095,WHITE SPOT,,,96,1101/25
