type,group_key,source_rows,raw_values,note
exact_normalized_name_duplicate,SULTAN ALARAB REST,27;89;90;91;92;93,SULTAN ALARAB REST;SULTAN ALARAB REST;SULTAN ALARAB REST;SULTAN ALARAB REST;SULTAN ALARAB REST;SULTAN ALARAB REST,6 rows share the same normalized client name — likely the same customer entered multiple times.
exact_normalized_name_duplicate,ALMAWRID PRINTING,30;34,ALMAWRID PRINTING;ALMAWRID PRINTING,2 rows share the same normalized client name — likely the same customer entered multiple times.
exact_normalized_name_duplicate,AL ATLAL ROASTRY,48;204,AL ATLAL ROASTRY ;AL ATLAL ROASTRY,2 rows share the same normalized client name — likely the same customer entered multiple times.
exact_normalized_name_duplicate,OLD CAF SHJ BR,141;153,OLD CAF - SHJ. BR;OLD CAF - SHJ. BR,2 rows share the same normalized client name — likely the same customer entered multiple times.
exact_normalized_name_duplicate,GULF ICE FACTORY COLD STORAGE,148;159;162,Gulf Ice Factory & Cold Storage;GULF ICE FACTORY &COLD STORAGE;GULF ICE FACTORY &COLD STORAGE,3 rows share the same normalized client name — likely the same customer entered multiple times.
exact_normalized_name_duplicate,NAEEMA TOWER,167;195,NAEEMA TOWER;NAEEMA TOWER,2 rows share the same normalized client name — likely the same customer entered multiple times.
exact_normalized_name_duplicate,MAJARAH BUILDING,187;188,MAJARAH BUILDING;MAJARAH BUILDING,2 rows share the same normalized client name — likely the same customer entered multiple times.
duplicate_contract_number,1064/25,4;59,1064/25,"Contract number ""1064/25"" appears on 2 separate rows — investigate before treating as unique contracts."
duplicate_contract_number,1071/25,7;66,1071/25,"Contract number ""1071/25"" appears on 2 separate rows — investigate before treating as unique contracts."
duplicate_contract_number,10016/25,9;10,10016/25,"Contract number ""10016/25"" appears on 2 separate rows — investigate before treating as unique contracts."
duplicate_contract_number,10023/25,17;18,10023/25,"Contract number ""10023/25"" appears on 2 separate rows — investigate before treating as unique contracts."
duplicate_contract_number,1174/26,168;169,1174/26,"Contract number ""1174/26"" appears on 2 separate rows — investigate before treating as unique contracts."
shared_phone_different_names,507844268,5;194,SINNA AUTO BAKERY | SINA AUTOMATIC BAKERY - BR1,"2 rows with different client names share phone number 507844268 — may be the same contact person/landlord managing multiple branches or accounts, or a data entry reuse. Needs owner review."
shared_phone_different_names,65752877,9;15,CAESARS REST&CONFECTIONERY BR 1 | CAESAR WAREHOUSE,"2 rows with different client names share phone number 65752877 — may be the same contact person/landlord managing multiple branches or accounts, or a data entry reuse. Needs owner review."
shared_phone_different_names,554264433,22;87;140,DAR BARAKAH SALON | AL IKHTAYAR AL AREEF ROASTRY | DAR BARAKAH HAIRDRESSING SALON,"3 rows with different client names share phone number 554264433 — may be the same contact person/landlord managing multiple branches or accounts, or a data entry reuse. Needs owner review."
shared_phone_different_names,555911995,24;26,AWANEY BR 5 | AWANEY RESTAURANT 3,"2 rows with different client names share phone number 555911995 — may be the same contact person/landlord managing multiple branches or accounts, or a data entry reuse. Needs owner review."
shared_phone_different_names,555466399,27;89;90;91;92;93,SULTAN ALARAB REST | SULTAN ALARAB REST | SULTAN ALARAB REST | SULTAN ALARAB REST | SULTAN ALARAB REST | SULTAN ALARAB REST,"6 rows with different client names share phone number 555466399 — may be the same contact person/landlord managing multiple branches or accounts, or a data entry reuse. Needs owner review."
shared_phone_different_names,65654400,30;197,"ALMAWRID PRINTING | UMM AL THOAB .U.A Q., U.A.E","2 rows with different client names share phone number 65654400 — may be the same contact person/landlord managing multiple branches or accounts, or a data entry reuse. Needs owner review."
shared_phone_different_names,561289289,33;61;131,Shaikha hamdan rashid | FATIMA ALMARZOOQI BEAUTY&SPA  | SAJA SPA FOR MENPERSON COMM,"3 rows with different client names share phone number 561289289 — may be the same contact person/landlord managing multiple branches or accounts, or a data entry reuse. Needs owner review."
shared_phone_different_names,506794799,34;179;192,ALMAWRID PRINTING | AL NAHLA REST. | AL MAWRID PRINTING & ADV. IND. ,"3 rows with different client names share phone number 506794799 — may be the same contact person/landlord managing multiple branches or accounts, or a data entry reuse. Needs owner review."
shared_phone_different_names,528897896,46;209;210,CAESAR  | THE CRUMB CAFE | CAESARS RESTAURANT &CONFECTIONERY L.L.C-SHJ-BR,"3 rows with different client names share phone number 528897896 — may be the same contact person/landlord managing multiple branches or accounts, or a data entry reuse. Needs owner review."
shared_phone_different_names,502916629,69;204,ALATLAL ROASTRY | AL ATLAL ROASTRY,"2 rows with different client names share phone number 502916629 — may be the same contact person/landlord managing multiple branches or accounts, or a data entry reuse. Needs owner review."
shared_phone_different_names,566319688,70;71;72;73,SHATEE ALMADEENA RES | MANARAT AL QARAIEN GROCERY | ALZAHRA GROCERY | ALIRSHAD SUPER MARKET,"4 rows with different client names share phone number 566319688 — may be the same contact person/landlord managing multiple branches or accounts, or a data entry reuse. Needs owner review."
