account_no,customer_name,alias,customer_group,legacy_codes,contract_numbers,contract_sl_nos,emirate,place_of_supply,district,address,po_box,email,phone,mobile,trn,priority,latitude,longitude,maps_link_coords,location_source,location_status,required_info,notes
11111,Rafid for Automotive Solutions LLC,RAFID,,001,1142/26,86,Sharjah,Sharjah,Wasit,"AL WASIT ROAD, AL AZRAA",4648,m.hassan@rafid.ae,,0563980333,100047581200003,High,25.375493,55.453998,"https://www.google.com/maps?q=25.375493,55.453998",CONTRACT_MASTER,VERIFIED,,Location inherited from contract master (SL 86)
11112,Sedar Decor Factory LLC,SEDAR,,002,,,,,,,6879,,,,100289392100003,High,,,,NONE,NO_LOCATION,ASK: EMAIL; ASK: PHONE/MOBILE; ASK: ADDRESS; ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11113,Medpharma Pharma & Chemical Industries LLC,,,003,,,Sharjah,Sharjah,Industrial Area,"Street no 37, Industrial area",,Dosey.Domenic@bauschhealth.com,,,100375097100003,High,25.3169,55.4187,"https://www.google.com/maps?q=25.316900,55.418700",AREA_CENTROID,AREA_APPROX,ASK: PHONE/MOBILE,District-level coordinates only — capture exact pin on first visit
11114,LATTAFA PERFUMES IND. LLC,,,004,,,Sharjah,Sharjah,Industrial Area,Industrial area,69793,,,,100601837600003,High,25.3169,55.4187,"https://www.google.com/maps?q=25.316900,55.418700",AREA_CENTROID,AREA_APPROX,ASK: EMAIL; ASK: PHONE/MOBILE,District-level coordinates only — capture exact pin on first visit
11115,Shifa Al Jazeera Medical Centre,SAJMC SHJ R,SHIFA AL JAZEERA GROUP,005,,,Sharjah,Sharjah,Al Rolla,"Al Zahra'a St - Al Gharb - Al Musalla, ROLLA",62236,,,0568897106,104990510000003,,25.35707,55.391061,"https://www.google.com/maps?q=25.357070,55.391061",AREA_CENTROID,AREA_APPROX,ASK: EMAIL,District-level coordinates only — capture exact pin on first visit
11116,Shifa Al Jazeera Medical Centre LLC,SAJMC AJM SANAYA,SHIFA AL JAZEERA GROUP,006,,,Sharjah,Sharjah,Industrial Area,Industrial area,,,,0557107385,100530816600003,,25.3169,55.4187,"https://www.google.com/maps?q=25.316900,55.418700",AREA_CENTROID,AREA_APPROX,ASK: EMAIL,District-level coordinates only — capture exact pin on first visit
11117,Shifa Al Rabee Medical Centre,SAJMC SHJ M,,007,,,Sharjah,Sharjah,Muwaileh,Muweilah,,,,0557107385,100569805300003,,25.295924,55.486309,"https://www.google.com/maps?q=25.295924,55.486309",AREA_CENTROID,AREA_APPROX,ASK: EMAIL,District-level coordinates only — capture exact pin on first visit
11118,Shifa Al Jazeera Medical Centre LLC Br 1,SAJMC AJM JURF,SHIFA AL JAZEERA GROUP,008,,,Ajman,Ajman,,Jurf,,,,0557107385,100530816600003,,25.4052,55.5136,"https://www.google.com/maps?q=25.405200,55.513600",AREA_CENTROID,AREA_APPROX,ASK: EMAIL,Emirate-level coordinates only — capture exact pin on first visit
11119,Vivat International Trading LLC,,,009,,,Sharjah,Sharjah,Industrial Area,Industrial area,,accounting@vivat-uae.net,,,100017226000003,Medium,25.3169,55.4187,"https://www.google.com/maps?q=25.316900,55.418700",AREA_CENTROID,AREA_APPROX,ASK: PHONE/MOBILE,District-level coordinates only — capture exact pin on first visit
11121,HOME PLUS HOMES FACILITIES MANAGEMENT,Bassam Tower,,010,,,,,,"Office #437, Emirates Atrium Building , Sheikh Zayed Rd.",,nawodika@hhsre.com,043966695,,100039018500003,,,,,NONE,NO_LOCATION,ASK: EMIRATE/PLACE_OF_SUPPLY; ASK: LOCATION_PIN,
11122,AL MAWRID PRINTING & ADVERTISING IND LLC,,AL MAWRID PRINTING GROUP,011,1197/26,141,Sharjah,Sharjah,Industrial Area,,1888,info@almawrid.ae,,,100047737000003,,25.287213,55.429521,"https://www.google.com/maps?q=25.287213,55.429521",CONTRACT_MASTER,VERIFIED,ASK: PHONE/MOBILE; ASK: ADDRESS,Location inherited from contract master (SL 141)
11123,Origami Restaurant LLC,,THE FOOD DISTRICT,"012,",1206/26,150,Sharjah,Sharjah,Muwaileh,Aljada,,costcontroller@thefooddistrict.co,,,100243335500003,Medium,25.319304,55.479454,"https://www.google.com/maps?q=25.319304,55.479454",CONTRACT_MASTER,VERIFIED,ASK: PHONE/MOBILE,Location inherited from contract master (SL 150)
11124,Moon Slice Restaurant LLC,,THE FOOD DISTRICT,013,,,Sharjah,Sharjah,Muwaileh,"Aljada , Muwaileh Commercial",,costcontroller@thefooddistrict.co,,,100475114300003,Medium,25.295924,55.486309,"https://www.google.com/maps?q=25.295924,55.486309",AREA_CENTROID,AREA_APPROX,ASK: PHONE/MOBILE,District-level coordinates only — capture exact pin on first visit
