branch_id,customer_id,address,emirate,gps_lat,gps_lng,source_row
BR-0001,CUST-0001,Aljada /shj,Sharjah,,,2
BR-0002,CUST-0002,"AL NABAM,SHARJAH",Sharjah,,,3
BR-0003,CUST-0003,NATIONAL PAINT  10/06/2025,,,,4
BR-0004,CUST-0004,ALDHAID/SHJ,Sharjah,,,5
BR-0005,CUST-0005,industreial 13/sheihk kh /street,,,,6
BR-0006,CUST-0006,"MUWAILAH ,SHARJAH",Sharjah,,,7
BR-0007,CUST-0007,BONDS ISTIGLAL STREET,,,,8
BR-0008,CUST-0008,ZAHIYA CITY CENTRE,,,,9
BR-0009,CUST-0009,MALIHA ROAD,,,,10
BR-0010,CUST-0010,NAHDA DUBAI,Dubai,,,11
BR-0011,CUST-0011,ABUSHAGARA ESTIGLAL ROAD,,,,12
BR-0012,CUST-0012,INDUSTRIAL 18,,,,13
BR-0013,CUST-0013,HARIA SHJ,Sharjah,,,14
BR-0014,CUST-0014,UMM ALTRAFA SHJ,Sharjah,,,15
BR-0015,CUST-0015,MUWAILIH /SHJ,Sharjah,,,16
BR-0016,CUST-0016,ALNABAA /SHJ,Sharjah,,,17
BR-0017,CUST-0017,SHARJAH/AL NAHDA,Sharjah,,,18
BR-0018,CUST-0018,ALGHUWAIR /SHJ,Sharjah,,,19
BR-0019,CUST-0019,MUWAILEH/SHJ,Sharjah,,,20
BR-0020,CUST-0020,ABOSHAGARA/SHJ,Sharjah,,,21
BR-0021,CUST-0021,ALGHUWAIR /SHJ,Sharjah,,,22
BR-0022,CUST-0022,MUWAILEH /SHJ,Sharjah,,,23
BR-0023,CUST-0023,MUWAILEH,,,,24
BR-0024,CUST-0024,YARMOUK,,,,25
BR-0025,CUST-0025,MUWAILEH,,,,26
BR-0026,CUST-0026,AL MAJAZ,,,,27
BR-0027,CUST-0027,INDUSTRIAL 13,,,,28
BR-0028,CUST-0028,ALFALAH/6,,,,29
BR-0029,CUST-0029,IND 15 SHJ,Sharjah,,,30
BR-0030,CUST-0030,BUTINA/SHJ,Sharjah,,,31
BR-0031,CUST-0031,ABOSHAGARA/SHJ,Sharjah,,,32
BR-0032,CUST-0032,ALABAR /SHJ,Sharjah,,,33
BR-0033,CUST-0033,IND 15 SHJ,Sharjah,,,34
BR-0034,CUST-0034,ALQUWAIR/SHJ,Sharjah,,,35
BR-0035,CUST-0035,MUWAILEH,,,,36
BR-0036,CUST-0036,ALMAJAZ,,,,37
BR-0037,CUST-0037,ALMAJAZ,,,,38
BR-0038,CUST-0038,SAJAA,,,,39
BR-0039,CUST-0039,sajaa,,,,40
BR-0040,CUST-0040,IND 14,,,,41
BR-0041,CUST-0041,aldhaid ceneral region,,,,42
BR-0042,CUST-0042,ALKHALIDIYA /SHJ,Sharjah,,,43
BR-0043,CUST-0043,ALMAJAZ SHJ,Sharjah,,,44
BR-0044,CUST-0044,ALKHAZAN SHJ,Sharjah,,,45
BR-0045,CUST-0045,UMM ALTRAFA SHJ,Sharjah,,,46
BR-0046,CUST-0046,ALMAJAZ,,,,47
BR-0047,CUST-0047,ALKHAN SHJ,Sharjah,,,48
BR-0048,CUST-0048,ALKHAN,,,,49
BR-0049,CUST-0049,ALABAR /SHJ,Sharjah,,,50
BR-0050,CUST-0050,AL KHAN /SHJ,Sharjah,,,51
BR-0051,CUST-0051,SHJ,Sharjah,,,52
BR-0052,CUST-0052,SHJ,Sharjah,,,53
BR-0053,CUST-0053,IND 15 SHJ,Sharjah,,,54
BR-0054,CUST-0054,SAJAA IND /SHJ,Sharjah,,,55
BR-0055,CUST-0055,ALQUWAIR /SHJ,Sharjah,,,56
BR-0056,CUST-0056,MUWAILEH/SHJ,Sharjah,,,57
BR-0057,CUST-0057,MUWAILEH,,,,58
BR-0058,CUST-0058,CENTRAL REGION DHAID,,,,59
BR-0059,CUST-0059,BU TINAH,,,,60
BR-0060,CUST-0060,helwan/shj,Sharjah,,,61
BR-0061,CUST-0061,station shj,Sharjah,,,62
BR-0062,CUST-0062,:MUWAILEH- SHARJAH,Sharjah,,,63
BR-0063,CUST-0063,ALNAHDAH- SHARJAH,Sharjah,,,64
BR-0064,CUST-0064,"Al Wahda Street 1,Sharjah",Sharjah,,,65
BR-0065,CUST-0065,:Corniche st ALmajaz 3,,,,66
BR-0066,CUST-0066,IND 13SHJ,,,,67
BR-0067,CUST-0067,ALMAJAZ/SHJ,Sharjah,,,68
BR-0068,CUST-0068,ALAABAR SHJ,Sharjah,,,69
BR-0069,CUST-0069,ALMAJAZ,,,,70
BR-0070,CUST-0070,"Maliha Road,",,,,71
BR-0071,CUST-0071,UMM AL TRAFA /SHJ,Sharjah,,,72
BR-0072,CUST-0072,SAJAA,,,,73
BR-0073,CUST-0073,ALMAHATTA SHJ,Sharjah,,,74
BR-0074,CUST-0074,ALKHAN SHJ,Sharjah,,,75
BR-0075,CUST-0075,MUWAILEH,,,,76
BR-0076,CUST-0076,SAJAA,,,,77
BR-0077,CUST-0077,SHJ.IND 6,Sharjah,,,78
BR-0078,CUST-0078,SHJIND 18,,,,79
BR-0079,CUST-0079,AJMAN,Ajman,,,80
BR-0080,CUST-0080,ALMAHATTA SHJ,Sharjah,,,81
BR-0081,CUST-0081,MUIWAILEH,,,,82
BR-0082,CUST-0082,HAWASHI /SHJ,Sharjah,,,83
BR-0083,CUST-0083,ALROFAA,,,,84
