contract_id,customer_id,contract_number,start_date,start_date_raw,end_date,end_date_raw,contract_value,contract_value_raw,service_frequency,service_frequency_raw,status,source_row
CN-0001,CUST-0001,1330/25,2025-06-15,,2026-06-14,,2400,,Monthly - 2 visits,MONTHLY TWO TIME,Done,2
CN-0002,CUST-0002,1070/25,2025-05-07,,2026-04-07,,,,,,Done,3
CN-0003,CUST-0003,1064/25,2025-10-06,,2026-05-19,,3150,,Monthly - 2 visits,MONTHLY TWO TIMES,,4
CN-0004,CUST-0004,1009/25,2025-07-18,,2026-07-17,,,*** RE,Monthly - 2 visits,MONTHLY TWO TINE,,5
CN-0005,CUST-0005,10014/25,2025-07-25,,2026-07-24,,2520,,Monthly - 2 visits,MONTHLY TWO TIMES,Done,6
CN-0006,CUST-0006,1071/25,2025-07-07,,2026-06-07,,4800,,,,,7
CN-0007,CUST-0007,10015/25,2025-07-28,,2026-07-27,,600,,Monthly - 1 visit,MONTHLY ONE TIME,Waiting,8
CN-0008,CUST-0008,10016/25,,,,,6300,,,,Done,9
CN-0009,CUST-0009,10016/25,2025-07-30,,2026-07-29,,1200,,Monthly - 1 visit,MONTHLY ONE TIME,,10
CN-0010,CUST-0010,10017/25,2025-01-08,,2026-01-08,,7000,,Monthly - 1 visit,MONTHLY ONE TIME,No Need,11
CN-0011,CUST-0011,10018/25,2025-08-01,,2026-07-31,,600,,Monthly - 1 visit,MONTHLY ONE TIME,Done,12
CN-0012,CUST-0012,10019/25,2025-04-08,,2026-03-08,,,1909-11-08 00:00:00,Monthly - 1 visit,MONTHLY ONE TIME,Done,13
CN-0013,CUST-0013,10020/25,2025-01-06,,2026-05-29,,2400,,Monthly - 2 visits,MONTHLY TWO TIMES,,14
CN-0014,CUST-0014,10021/25,2025-01-08,,2026-07-31,,3600,,Monthly - 2 visits,MONTHLY TWO TIMES,Done,15
CN-0015,CUST-0015,10022/25,2025-06-08,,2026-05-08,,,1904-12-04 00:00:00,Monthly - 2 visits,MONTHLY TWO TIMES,Municipality Fine Issue,16
CN-0016,CUST-0016,10023/25,2025-09-08,,2026-08-08,,,1918-08-17 00:00:00,Monthly - 2 visits,MONTHLY TWO TIMES,Done,17
CN-0017,CUST-0017,10023/25,2025-06-08,,2026-05-08,,,1904-12-04 00:00:00,,,Done,18
CN-0018,CUST-0018,10024/25,2025-08-12,,2026-11-08,,3780,,Monthly - 2 visits,MONTHLY TWO TIMES,Done,19
CN-0019,CUST-0019,10025/25,2025-08-13,,2026-12-08,,,1909-11-08 00:00:00,Monthly - 2 visits,MONTHLY TWO TIMES,Done,20
CN-0020,CUST-0020,10026/25,2025-08-13,,2026-12-08,,,****,Monthly - 1 visit,MONTHLY ONE TIMES,Pending,21
CN-0021,CUST-0021,10027/25,2025-08-13,,2026-12-08,,,****,Monthly - 1 visit,MONTHLY ONE TIMES,Pending,22
